Name,Specialisation,City,Hospital/Clinic,Experience,Padma_Vibhushan,Padma_Bhushan,Padma_Shri,Dhanvantari_Award,BC_Roy_National_Award,Other_Awards
Dr. Hemanth Kumar Kasargod,General Surgeon, New Delhi," Fortis Flt. Lt. Rajan Dhall Hospital, Vasant Kunj, New Delhi",15,0,0,0,0,0,4
Dr. Vishwadeep Sharma,Orthopaedic and Joint Replacement Surgeon, New Delhi,Knee Surgery,0,0,0,0,0,0,8
Dr. Arun Ganguli,Cosmetic Surgeon, Kolkata, Medica Superspecialty Hospital,15,0,0,0,0,0,3
Dr. Aditya Kanoi,Cosmetic Surgeon, Kolkata, Medica Superspecialty Hospital,15,0,0,0,0,0,7
Dr. Anirban Chatterjee,Orthopaedic and Joint Replacement Surgeon, Kolkata, Medica Superspecialty Hospital,15,0,0,0,0,0,8
Dr. Debashis Adhikary,Orthopaedic and Joint Replacement Surgeon, Kolkata, Medica Superspecialty Hospital,15,0,0,0,0,0,3
Dr. Pradeep Thomas Cherian,Liver Transplant Surgeon, Kolkata,,16,0,0,0,0,0,5
Dr Prasad G,Nephrologist, Visakhapatnam," Apollo Hospital, Vizag",14,0,0,0,0,0,8
Dr. Sunil Kumar Gupta,Orthopaedic and Joint Replacement Surgeon, New Delhi, Saroj Super Speciality Hospital,14,0,0,0,0,0,7
Dr Major R S Rengan,General Surgeon, Chennai,,15,0,0,0,0,0,9
Dr. Porselvi Rajin,Surgical Gastroenterologist, Kilpauk,,16,0,0,0,0,0,3
Dr Raja Mahesh,Nephrologist, Chennai," Apollo First Med Hospitals, Kilpauk",15,0,0,0,0,0,4
Dr Ravindran Kumeran,General Surgeon, Chennai," Apollo First Med Hospitals, Kilpauk",15,0,0,0,0,0,10
 Dr. Monica Gupta,Surgical Gastroenterologist, Jaipur,", Upper Gastrointestinal Tract Surgeon",0,0,0,0,0,0,6
Dr.Triveni Dhaka ,Cosmetic Surgeon, Jaipur," Manipal Hospital, Jaipur",16,0,0,0,0,0,5
Dr. Vijay Yadav,Surgical Oncologist, Jaipur," Manipal Hospital, Jaipur",16,0,0,0,0,0,10
Dr. Phani Krishna Ravula,Surgical Gastroenterologist, Hyderabad,Liver Transplant Surgeon,16,0,0,0,0,0,9
Dr. Abhinav Sharma,Surgical Gastroenterologist, Jaipur,,70,0,0,0,0,0,6
 Dr. Gourav Das,General Surgeon, Bhubaneswar," AMRI Hospitals, Bhubaneswar",15,0,0,0,0,0,2
Dr. Lalatendu Mahapatra,General Surgeon, Bhubaneswar," AMRI Hospitals, Bhubaneswar",16,0,0,0,0,0,8
Dr. Soumen Roy,Surgical Gastroenterologist, Bhubaneswar,Hepato-Pancreato-Biliary Surgeon,16,0,0,0,0,0,5
Dr. Subodh Das,Nephrologist, Bhubaneswar," AMRI Hospitals, Bhubaneswar",15,0,0,0,0,0,2
Dr. Navjot Singh,Orthopaedic and Joint Replacement Surgeon, Pathankot," Amandeep Hospital, Pathankot",14,0,0,0,0,0,9
Dr. Vasuki R,General Surgeon, Chennai," Apollo Specialty Hospitals, Vanagaram",15,0,0,0,0,0,6
Dr. Venkatesh R,Cosmetic Surgeon, Chennai," Apollo Specialty Hospitals, Vanagaram",15,0,0,0,0,0,5
Dr. S Venkatesh Rajkumar,Nephrologist, Chennai," Apollo Specialty Hospital, OMR",16,0,0,0,0,0,4
Dr Uday Bhaskar,Urologist, Bangalore, Manipal Hospital (Old Airport Road) Bangalore,16,0,0,0,0,0,7
Dr. Priya Khamatkar,IVF Specialist, Navi Mumbai," Cloud Nine Hospital, Navi Mumbai",11,0,0,0,0,0,9
Dr. Shruti Parikh,IVF Specialist, Navi Mumbai," Cloud Nine Hospital, Navi Mumbai",11,0,0,0,0,0,1
Dr. Shilpa Bansal,Gynaecologist and Obstetrician, Mumbai," Cloud Nine, Mumbai",11,0,0,0,0,0,7
Dr. Saloni Suchak,Gynaecologist and Obstetrician, Mumbai," Cloud Nine, Mumbai",16,0,0,0,0,0,4
Dr. Hitendra Patil,Surgical Oncologist, Mumbai," Apollo Spectra Hospital, Mumbai",15,0,0,0,0,0,1
Dr. Prajyot Jagtap,Orthopaedic and Joint Replacement Surgeon, Mumbai,Hip Surgery,0,0,0,0,0,0,7
Dr. M Srijana,Cosmetic Surgeon, Hyderabad," Apollo Hospital, Hyderguda",11,0,0,0,0,0,5
Dr Albert D'Souza,Orthopaedic and Joint Replacement Surgeon, Greater Noida,Arthoscopy and Sports Medicine,0,0,0,0,0,0,3
Dr Mathura Prasad Mahato,Paediatric Neurologist, Greater Noida,General Paediatrician,0,0,0,0,0,0,7
Dr Vikram Singh Chauhan,General Surgeon, Greater Noida," Sharda Hospital, Greater Noida",15,0,0,0,0,0,5
Dr. Yogesh Nischal  ,Medical Oncologist, Noida,", Radiation Oncologist",0,0,0,0,0,0,7
Dr. Aritra Ghosh ,Surgical Gastroenterologist, Bangalore,General Surgeon,0,0,0,0,0,0,4
Dr. Shyam Sundar S,Neurosurgeon, Calicut,", Spine Surgeon",0,0,0,0,0,0,3
Dr. Mishal Johny,Neurosurgeon, Calicut," Meitra Hospital, Kerala",15,0,0,0,0,0,8
Dr. Saujatya Chakraborty,Interventional Cardiologist, Kolkata," Ruby General Hospital, Kolkata",16,0,0,0,0,0,10
Dr Suchanda Goswami,Radiation Oncologist, Kolkata," Apollo Gleneagles Hospital, Kolkata",15,0,0,0,0,0,2
Dr. Dhiraj Chaudhary,General Surgeon, Kolkata,Advanced Laparoscopic,0,0,0,0,0,0,2
Dr. Tanmay Mukherjee,Nephrologist, Kolkata," Ruby General Hospital, Kolkata",11,0,0,0,0,0,8
Dr. Sudhir Adhikary,Gynaecologist and Obstetrician, Kolkata," Ruby General Hospital, Kolkata",16,0,0,0,0,0,7
Dr. Sukumar Sinha,Gynaecologist and Obstetrician, Kolkata," Ruby General Hospital, Kolkata",16,0,0,0,0,0,7
Dr. Indira Kedlaya,physician, Bangalore," Columbia Asia Hospital, Bangalore(Whitefield)",20,0,0,0,0,0,9
Dr. Vijay Kumar Ramchand Wadhwa,General Surgeon, Bangalore," Fortis Hospital, Bangalore (Bannerghatta Road)",35,0,0,0,0,0,10
Dr. Amar B R,Neurologist, Bangalore,,15,0,0,0,0,0,10
Dr. Geetalima Dutta,ENT Surgeon, Gurgaon," W Pratiksha Hospital, Gurgaon",15,0,0,0,0,0,6
Dr. Vasudevan K.R,Liver Transplant Surgeon, New Delhi," Pushpawati Singhania Research Institute, New Delhi",18,0,0,0,0,0,6
Dr. Himanshu Arora ,Neurosurgeon, Faridabad," Fortis Escorts Hospital, Faridabad",15,0,0,0,0,0,4
Dr. Ajay P Choksi ,Medical Gastroenterologist, Mumbai," Nanavati Super Specialty Hospital, Mumbai",36,0,0,0,0,0,7
Dr. Sushil Kumar Kumbhat,, Mumbai," Nanavati Super Specialty Hospital, Mumbai",36,0,0,0,0,0,9
Dr. Rajiv Anandh,Advanced Laparoscopic, Minimal Access and Bariatric Surgeon,Advanced Laparoscopic,0,0,0,0,0,0,7
Dr. Rupant Kumar Das,Neurosurgeon, Kolkata,,21,0,0,0,0,0,9
Dr. Patta Radhakrishna,Surgical Gastroenterologist, Chennai," SIMS Hospital, Vadapalani, Chennai",28,0,0,0,0,0,7
Dr. Sridhar Reddy Peddy,Cardiac Surgeon, Hyderabad," Apollo Hospitals, Jubilee Hills Hyderabad",15,0,0,0,0,0,4
Dr. Lawish Agarwal,Vascular Surgeon, Noida," Fortis Hospital, Noida",16,0,0,0,0,0,8
Dr. (Lt. Gen) Prem P Varma,Nephrologist, New Delhi,  ,28,0,0,0,0,0,6
Dr. PremKumar K,Medical Gastroenterologist, Chennai,,15,0,0,0,0,0,9
Dr. Richa Bhargava,Medical Gastroenterologist, Gurgaon,,10,0,0,0,0,0,3
Dr Kapil Agarwal,Neurologist, Gurgaon," W Pratiksha Hospital, Gurgaon",14,0,0,0,0,0,7
Dr. Pankaj Lohia,Liver Transplant Surgeon, New delhi," BLK Super Speciality Hospital, New Delhi",16,0,0,0,0,0,8
Dr Bhushan Bhole,Liver Transplant Surgeon, New Delhi," Pushpawati Singhania Research Institute, New Delhi",15,0,0,0,0,0,6
Dr. Kamal Gupta,Interventional Cardiologist, Faridabad," Fortis Escorts Hospital, Faridabad",16,0,0,0,0,0,2
Dr. Anjali Bhosle,Urologist, Mumbai," Fortis Hospital, Mulund, Mumbai",17,0,0,0,0,0,9
Dr. Suryaprakash,Medical Gastroenterologist, Mumbai," Sir HN Reliance Foundation Hospital, Mumbai",15,0,0,0,0,0,9
Dr. Mohan Gadam,Gynaecologist and Obstetrician, Mumbai,", Infertility Specialist",0,0,0,0,0,0,3
Dr. Nawab Jan,General Surgeon, Bangalore,Advanced Laparoscopic,0,0,0,0,0,0,9
Dr. Naresh Shanmugam,Gastroenterology-0, Chennai,", Pediatric Gastroenterologist",0,0,0,0,0,0,7
Dr Mani Ramesh,Orthopaedic and Joint Replacement Surgeon, Chennai,Hip Surgery,0,0,0,0,0,0,7
Dr. Mohammed Idhrees,Cardiac Surgeon, Chennai,", Pediatric Cardiac Surgeon",0,0,0,0,0,0,8
Dr Deepa Thangamani,Gynaecologist and Obstetrician, Chennai," Apollo First Med Hospitals, Kilpauk",15,0,0,0,0,0,10
Dr G. Gopalaswamy,Surgical Gastroenterologist, Chennai,Advanced Laparoscopic,0,0,0,0,0,0,9
Dr Ramesh Babu C,Orthopaedic and Joint Replacement Surgeon, Chennai,Arthoscopy and Sports Medicine,0,0,0,0,0,0,5
Dr. Ajay Bajaj,Neurosurgeon, Mumbai,", Spine Surgeon",0,0,0,0,0,0,10
Dr. Jayant Sharma,Medical Gastroenterologist, Jaipur, Fortis Escorts Hospital Jaipur,19,0,0,0,0,0,9
Dr. S.T. Gopal,Medical Gastroenterologist, Bangalore,", Surgical Gastroenterologist",0,0,0,0,0,0,2
Dr. Manjushree Naik,Cosmetic Surgeon, Chennai," Apollo Cosmetic Clinic, MRC Nagar",15,0,0,0,0,0,10
Dr. Manjunath MK,ENT Surgeon, Bangalore," Columbia Asia Referral Hospital, Bangalore(Yeshwanthpur)",15,0,0,0,0,0,7
Dr. Sudhir B.S.,Internal Medicine, Bangalore, Apollo Hospital (Bannerghatta Road) Bangalore ,15,0,0,0,0,0,2
Dr. Sushanta Bhattacharya,Neurologist, Kolkata,", Neurosurgeon",0,0,0,0,0,0,2
Dr. Yogendra Singh Rajput,Interventional Cardiologist, Gurgaon," W Pratiksha Hospital, Gurgaon",15,0,0,0,0,0,10
Dr Leonard Ponraj,Orthopaedic and Joint Replacement Surgeon, Chennai,Arthoscopy and Sports Medicine,0,0,0,0,0,0,7
Dr. Sudeep Putta Manohar,Endocrinologist, Bangalore, Apollo Hospital (Bannerghatta Road) Bangalore ,15,0,0,0,0,0,10
Dr. Poonam Shetty,General Paediatrician, Bangalore,", Neonatologist",0,0,0,0,0,0,4
Dr. Anshu Alok,Endocrinologist, ," Batra Hospital & Medical Research Centre, New Delhi",15,0,0,0,0,0,3
Dr C.Geetha Haripriya,Gynaecologist and Obstetrician, Chennai,", Infertility Specialist",0,0,0,0,0,0,7
Dr Kamakshi Dhanraj,Cosmetic Surgeon, Chennai," Prashanth Multi Speciality Hospital, Chennai",0,0,0,0,0,0,7
Dr. Amit Kumar,Interventional Cardiologist, Faridabad," Fortis Escorts Heart Institute, New Delhi",8,0,0,0,0,0,6
Dr. Uma Mallaiah,Ophthalmologist, New Delhi,Oculoplasty Specialist,8,0,0,0,0,0,8
Dr. Manish Singhal,Medical Oncologist, New Delhi," Indraprastha Apollo Hospital, New Delhi",20,0,0,0,0,0,10
Dr. Dipanjan Haldar,Hematologist, Mumbai,  ,6,0,0,0,0,0,7
Dr. Mandeep Dhanda,Urologist, Gurgaon,Endourologist,6,0,0,0,0,0,8
Dr. Rashmi Rajat Chopra,Orthopaedic and Joint Replacement Surgeon, Gurgaon,Arthoscopy and Sports Medicine,6,0,0,0,0,0,5
Dr. Aditi Agarwal,Ophthalmologist, Gurgaon,Cornea Specialist,6,0,0,0,0,0,8
Dr. Saguna Shukla,Gynaecologist and Obstetrician, Gurgaon,", Infertility Specialist",0,0,0,0,0,0,10
Dr. (Lt. Col) Leena N Sreedhar,Gynaecologist and Obstetrician, New Delhi," Manipal Hospitals Dwarka, Delhi",28,0,0,0,0,0,1
Dr. Ashit Syngle,Rheumatologist, Mohali," Fortis Hospital, Mohali",24,0,0,0,0,0,6
Dr. Mayuri Rajapurkar,Surgical Oncologist, Kochi, Aster Medcity Kochi,14,0,0,0,0,0,7
Dr. Mandeep Singh Malhotra,Surgical Oncologist, New Delhi," Fortis Flt. Lt. Rajan Dhall Hospital, Vasant Kunj, New Delhi",14,0,0,0,0,0,1
Dr. Shamik Hait,Orthopaedic and Joint Replacement Surgeon, Kolkata,,14,0,0,0,0,0,2
Dr. Jaideep Kumar Trivedi,Cardiac Surgeon, Visakhapatnam," Apollo Hospital, Vizag",14,0,0,0,0,0,1
Dr. Chander Shekhar,Cardiac Surgeon, , Saroj Super Speciality Hospital,17,0,0,0,0,0,7
Dr. Sumit Garg,Orthopaedic and Joint Replacement Surgeon, New Delhi, Saroj Super Speciality Hospital,14,0,0,0,0,0,9
Dr. Deepak Varshney,Neurosurgeon, New Delhi," Batra Hospital & Medical Research Centre, New Delhi",0,0,0,0,0,0,6
Dr. Vivek Sharma ,Orthopaedic and Joint Replacement Surgeon, Jaipur,,14,0,0,0,0,0,9
Dr. Manas Ranjan Pradhan,Nephrologist, Bhubaneswar," AMRI Hospitals, Bhubaneswar",14,0,0,0,0,0,7
Dr. Dinesh Ramaswamy ,Surgical Gastroenterologist, Chennai,Advanced Laparoscopic,0,0,0,0,0,0,3
Dr. Asha V N ,Neurologist, Calicut," Meitra Hospital, Kerala",12,0,0,0,0,0,6
Dr. Debarchan Ghosh,General Surgeon, Kolkata,Advanced Laparoscopic,0,0,0,0,0,0,4
Dr. Bijan Kumar Bhattacharya,Nephrologist, Kolkata," Ruby General Hospital, Kolkata",14,0,0,0,0,0,3
Dr. Chitralekha De,Ophthalmologist, Gurgaon," Centre for Sight Eye Hospital, Sector 29, Gurgaon",14,0,0,0,0,0,5
Dr. Vivek Iyer,Neurologist, Chennai," SIMS Hospital, Vadapalani, Chennai",14,0,0,0,0,0,7
 Dr. Geeta Malkan Billa,Medical Gastroenterologist, Mumbai," Fortis Hospital, Mulund, Mumbai",26,0,0,0,0,0,9
Dr. Ashutosh Srivastava,Orthopaedic and Joint Replacement Surgeon, Faridabad,Arthoscopy and Sports Medicine,26,0,0,0,0,0,1
Dr. Prateik Poddar  ,Medical Gastroenterologist, Kolkata,", Surgical Gastroenterologist",0,0,0,0,0,0,3
Dr. Juhi Agrawal ,Aesthetics and Plastic Surgeon, New Delhi," Manipal Hospitals Dwarka, Delhi",15,0,0,0,0,0,8
Dr. Kumar Ankur,Neonatologist, New Delhi," BLK Super Speciality Hospital, New Delhi",16,0,0,0,0,0,2
Dr. Saurabh Patil,Urologist, Mumbai," Fortis Hospital, Mulund, Mumbai",12,0,0,0,0,0,1
Dr. Prashanth C A,Advanced Laparoscopic, Minimal Access and Bariatric Surgeon,Advanced Laparoscopic,0,0,0,0,0,0,1
Dr. Akila Rajakumar,Anaesthesia, Chennai,", Anaesthesia",0,0,0,0,0,0,6
Dr. Partha Chakraborty,General Paediatrician, Kolkata," AMRI Hospital, Kolkata (Dhakuria)",16,0,0,0,0,0,5
Dr. Alok Basu,Gynaecologist and Obstetrician, Kolkata," AMRI Hospitals, Saltlake",30,0,0,0,0,0,9
Dr. Gaurav Khera,Orthopaedic and Joint Replacement Surgeon, New Delhi,Arthoscopy and Sports Medicine,0,0,0,0,0,0,9
Dr. Arun Kochar,Interventional Cardiologist, Mohali," Fortis Hospital, Mohali",18,0,0,0,0,0,9
Dr. Deepak Joshi,Orthopaedic and Joint Replacement Surgeon, Mohali," Fortis Hospital, Mohali",16,0,0,0,0,0,3
Dr. Harpreet Singh Mann,Neurologist, Mohali," Fortis Hospital, Mohali",17,0,0,0,0,0,7
Dr. Sujit Jana,Cardiac Surgeon, Navi Mumbai," Reliance Hospitals, Navi Mumbai",17,0,0,0,0,0,1
Dr. Azad Gaurav Bansal,Ophthalmologist, Lucknow," Apollo Medics Super Speciality Hospital, Lucknow",18,0,0,0,0,0,4
Dr. Swapnadeep Roy ,Cardiac Surgeon, Greater Noida," Sharda Hospital, Greater Noida",15,0,0,0,0,0,7
Dr. Dhiraj Agrawal,Surgical Gastroenterologist, Hyderabad,Hepato-Pancreato-Biliary Surgeon,15,0,0,0,0,0,5
Dr. Parul Chopra Buttan,Gynaecologist and Obstetrician, Gurgaon," Cloudnine Hospital, Gurgaon (Sector-47)",17,0,0,0,0,0,5
Dr. Shivashankar,Urologist and Renal Transplant Specialist, Bangalore, Manipal Hospital (Old Airport Road) Bangalore,33,0,0,0,0,0,6
Dr. S K Pal,Urologist and Andrologist, New Delhi," Apollo Spectra Hospital, New Delhi",35,0,0,0,0,0,6
Dr. Srikanth Ramasubramanian,Ophthalmologist, Chennai," Apollo Spectra Hospital, Chennai",14,0,0,0,0,0,2
Dr. Anand N S,, Bangalore,,0,0,0,0,0,0,9
Dr. Anand N S,, Bangalore,,0,0,0,0,0,0,10
Dr. Anand N S,, Bangalore,,0,0,0,0,0,0,10
Dr. Anurag Puri ,Urologist and Renal Transplant Specialist, New Delhi,Urologist and Andrologist,,0,0,0,0,0,10
Dr. Avik Kumar Jana,ENT Surgeon, Kolkata," AMRI Hospitals, Saltlake",14,0,0,0,0,0,10
Dr. B.K Saha,Orthopaedic and Joint Replacement Surgeon, Kolkata," AMRI Hospitals, Saltlake",20,0,0,0,0,0,6
Dr. Elan Kumaran K,Surgical Gastroenterologist, Chennai," Apollo Spectra Hospital, Chennai",14,0,0,0,0,0,1
Dr Khushbu Goel  ,Neurologist, New Delhi," Manipal Hospitals Dwarka, Delhi",14,0,0,0,0,0,2
Dr. Shyam Varma,Urologist and Renal Transplant Specialist, Hyderabad," Pace Hospital, Hyderabad",16,0,0,0,0,0,6
Dr. Yajvendra Pratap Singh Rana,Urologist, New Delhi,  ,16,0,0,0,0,0,8
Dr. Shanti Swaroop Dhar,Medical Gastroenterologist, Gurgaon," Max Super Specialty Hospital, Gurgaon",13,0,0,0,0,0,3
Dr. Ruchir Maheswari,Urologist, New Delhi," Max Super Speciality Hospital, Saket, New Delhi",13,0,0,0,0,0,2
Dr. Prabha Ramakrishna,Gynaecologist and Obstetrician, Bangalore," Sakra World Hospital, Bangalore",20,0,0,0,0,0,4
Dr. Chetan Kantharia,Surgical Gastroenterologist, Mumbai,Colo-Rectal Surgeon,,0,0,0,0,0,4
Dr. Manit Arora,Orthopaedic and Joint Replacement Surgeon, Mohali,Hip Surgery,0,0,0,0,0,0,2
Dr. Radhika S R,Gynaecologist and Obstetrician, Chennai,", Infertility Specialist",0,0,0,0,0,0,1
Dr Chander,Orthopaedic and Joint Replacement Surgeon, Chennai,", Shoulder Surgery",0,0,0,0,0,0,6
Dr. B R Nath,Cardiology, Kolkata,Cardiac Surgeon,0,0,0,0,0,0,9
Dr. Savita Bansal,Gynaecologist and Obstetrician, Jaipur, Fortis Escorts Hospital Jaipur,22,0,0,0,0,0,8
Dr. Kunjahari Medhi,Medical Oncologist, New Delhi," Batra Hospital & Medical Research Centre, New Delhi",15,0,0,0,0,0,4
Dr. SS Praharaj,Neurosurgeon, Bangalore," Fortis Hospital, Bangalore (Bannerghatta Road)",32,0,0,0,0,0,5
Dr. H Veeresh,Urologist and Andrologist, Hyderabad,", Urologist and Renal Transplant Specialist",0,0,0,0,0,0,7
Dr K. Chandrasekharan,Electrophysiologist, Chennai,", Interventional Cardiologist",0,0,0,0,0,0,3
Dr Chokalingam B,Orthopaedic and Joint Replacement Surgeon, Chennai,Hip Surgery,0,0,0,0,0,0,4
Dr. Mukesh Goel,Cardiac Surgeon, New Delhi," Indraprastha Apollo Hospital, New Delhi",14,0,0,0,0,0,9
Dr. Aman Dhillon,Prosthodontist, Gurgaon," Fortis Memorial Research Institute, Gurgaon",14,0,0,0,0,0,7
Dr. Manju Dagar,Gynaecologist and Obstetrician, Gurgaon," W Pratiksha Hospital, Gurgaon",12,0,0,0,0,0,7
Dr. Nitesh Kumar Sinha,Surgical Oncologist, Siliguri," Medica Cancer Centre, Rangapani",17,0,0,0,0,0,6
Dr. Jitendra Nath Patnaik,Cardiac Surgeon, Bhubaneswar," AMRI Hospitals, Bhubaneswar",17,0,0,0,0,0,3
Dr. Aparna Bhat,Cosmetic Surgeon, Bangalore," Cloudnine Hospital, Bangalore",12,0,0,0,0,0,6
Dr. Tapan Singh Chauhan,Advanced Laparoscopic, Minimal Access and Bariatric Surgeon,Advanced Laparoscopic,0,0,0,0,0,0,7
Dr. Reshu Saraogi ,Gynaecologist and Obstetrician, Bangalore," Manipal hospitals Life's On, Whitefield",13,0,0,0,0,0,9
Dr Vishwanath Pai,Surgical Gastroenterologist, Chennai,Advanced Laparoscopic,0,0,0,0,0,0,8
Dr. Gouranga Dutta,Cosmetic Surgeon, Kolkata," Ruby General Hospital, Kolkata",13,0,0,0,0,0,8
Dr. Susenjit Prasad Mahato,Advanced Laparoscopic, Minimal Access and Bariatric Surgeon,Advanced Laparoscopic,0,0,0,0,0,0,5
Dr. Hemant Chhajed,General Surgeon, Nagpur," Wockhardt Super Speciality Hospital, Nagpur ",20,0,0,0,0,0,10
Dr. Bala Chandran TG,Surgical Gastroenterologist, Chennai,Colo-Rectal Surgeon,0,0,0,0,0,0,10
Dr. Digvijay Sharma,Vascular Surgeon, New Delhi," Fortis Escorts Heart Institute, New Delhi",21,0,0,0,0,0,9
Dr. Amit Sharma,Nephrologist, Mohali," Fortis Hospital, Mohali",18,0,0,0,0,0,10
Dr Naveen H C,Surgical Oncologist, Chennai," Apollo Proton Cancer Centre, Chennai",14,0,0,0,0,0,1
Dr Govind Nandakumar,Surgical Gastroenterologist, Bangalore," Columbia Asia Hospital, Bangalore(Whitefield)",14,0,0,0,0,0,4
Dr. Divakar Jain,Liver Transplant Surgeon, Mumbai," Kokilaben Dhirubhai Ambani Hospital, Mumbai",13,0,0,0,0,0,7
Dr. Irfan Bashir,Radiation Oncologist, New Delhi," Batra Hospital & Medical Research Centre, New Delhi",14,0,0,0,0,0,9
Dr Vanita Mathew,Dermatologist, Bangalore, Apollo Hospital (Bannerghatta Road) Bangalore ,14,0,0,0,0,0,9
Dr Satish Kumar T,Orthopaedic and Joint Replacement Surgeon, Chennai,Hip Surgery,14,0,0,0,0,0,1
Dr. Kaushiki Dwivedee,Gynaecologist and Obstetrician, Gurgaon,,20,0,0,0,0,0,5
Dr. Ashish Sadana,Laparoscopic Surgeon, New Delhi," Venkateshwar Hospital, New Delhi",21,0,0,0,0,0,10
Dr. Manish Kulshrestha,Laparoscopic Surgeon, New Delhi," Fortis Hospital, Shalimar Bagh, New Delhi",16,0,0,0,0,0,3
Dr. Hari Prasad,Pulmonologist, Bangalore, Apollo Hospital (Bannerghatta Road) Bangalore ,15,0,0,0,0,0,2
Dr. Shrestha Sagar Tanwar,IVF Specialist, New Delhi," ART Fertility Clinics, Delhi",12,0,0,0,0,0,2
Dr. Ekta Sharma,Gynaecologist and Obstetrician, Lucknow," Apollo Medics Super Speciality Hospital, Lucknow",16,0,0,0,0,0,10
Dr T.R. Yeshwanth,Surgical Gastroenterologist, Chennai,Advanced Laparoscopic,0,0,0,0,0,0,6
Dr K Kannan,Interventional Cardiologist, Chennai," Prashanth Multi Speciality Hospital, Chennai",23,0,0,0,0,0,7
Dr. Ekta Sharma,Gynaecologist and Obstetrician, Lucknow," Apollo Medics Super Speciality Hospital, Lucknow",16,0,0,0,0,0,5
Dr T.R. Yeshwanth,Surgical Gastroenterologist, Chennai,Advanced Laparoscopic,0,0,0,0,0,0,4
Dr K Kannan,Interventional Cardiologist, Chennai," Prashanth Multi Speciality Hospital, Chennai",23,0,0,0,0,0,1
Dr. Manish Julaha,Surgical Oncologist, Gurgaon," Artemis Hospital, Gurgaon",7,0,0,0,0,0,1
Dr. Dipayan Biswas,ENT Surgeon, Kolkata," AMRI Hospitals, Saltlake",18,0,0,0,0,0,7
Dr. Sankar Das Mahapatra,Gynaecologist and Obstetrician, Kolkata," AMRI Hospitals, Saltlake",20,0,0,0,0,0,6
Dr. Anil Poddar,Surgical Oncologist, Kolkata," AMRI Hospital, Kolkata (Dhakuria)",19,0,0,0,0,0,7
Dr. Habeeb Mohammed,General Paediatrician, Chennai," Cloudnine Hospital, Chennai",19,0,0,0,0,0,7
Dr. Rajasri Banerjee,Gynaecologist and Obstetrician, Kolkata," AMRI Hospital, Kolkata (Dhakuria)",20,0,0,0,0,0,8
Dr Srinivas Chilukuri,Radiation Oncologist, Chennai," Apollo Proton Cancer Centre, Chennai",14,0,0,0,0,0,9
Dr. Vasanth,Psychiatrist, Chennai," Apollo Specialty Hospital, OMR",14,0,0,0,0,0,4
Dr. Tejendra Singh Chauhan ,Nephrologist, Faridabad," Fortis Escorts Hospital, Faridabad",12,0,0,0,0,0,3
Dr Niti Kautish,Gynaecologist and Obstetrician, Faridabad,", IVF Specialist",0,0,0,0,0,0,2
Dr. Vivek Jain,Neonatologist, New Delhi," Fortis Hospital, Shalimar Bagh, New Delhi",14,0,0,0,0,0,3
Dr. V. Narendra Kumar,Cardiac Surgeon, Chennai,", Interventional Cardiologist",0,0,0,0,0,0,10
Dr. Mayank Mohan Agarwal,Urologist and Andrologist, Gurgaon,Endourologist,0,0,0,0,0,0,2
Dr. Manoj Tayal,Radiation Oncologist, Gurgaon," Medanta - The Medicity, Gurgaon",17,0,0,0,0,0,8
Dr (Major) G.B. Rajan,Cosmetic Surgeon, Chennai," Prashanth Multi Speciality Hospital, Chennai",22,0,0,0,0,0,2
Dr Vijay M Rajamani,Spine Surgeon, Chennai," Prashanth Multi Speciality Hospital, Chennai",0,0,0,0,0,0,7
Dr Visvanathan Krishnaswamy,Neurosurgeon, Chennai,", Spine Surgeon",0,0,0,0,0,0,2
Dr. Bhuvnesh Kumar Aggarwal,Cardiac Surgeon, Gurgaon," Medanta - The Medicity, Gurgaon",31,0,0,0,0,0,8
Dr. Hemant Pramod Pathare,Cardiac Surgeon, Mumbai," Jaslok Hospital, Mumbai",20,0,0,0,0,0,8
Dr S. Rajesh Kumar,Interventional Cardiologist, Chennai," Prashanth Multi Speciality Hospital, Chennai",0,0,0,0,0,0,8
Dr K Velmurugan,Orthopaedic and Joint Replacement Surgeon, Chennai,Arthoscopy and Sports Medicine,0,0,0,0,0,0,6
Dr Raghavendran Radhakrishnan,Endovascular Surgeon, Chennai,", Neurosurgeon",0,0,0,0,0,0,9
Dr. Rekha Chandra,Ophthalmologist, Kolkata,Cataract Surgeon,0,0,0,0,0,0,1
Dr. Rajni Sharma,Dentist, Gurgaon," Fortis Memorial Research Institute, Gurgaon",12,0,0,0,0,0,1
Dr. Anil Mandhani,Urologist, Gurgaon," Fortis Escorts Heart Institute, New Delhi",25,0,0,0,0,0,1
Dr. Praveen Tittal,Orthopaedic and Joint Replacement Surgeon, Gurgaon,Foot and Ankle Surgery,0,0,0,0,0,0,5
Dr. Ravi Manohar,ENT Surgeon, Bangalore,,29,0,0,0,0,0,6
Dr. Upal Sengupta,Nephrologist, Kolkata," Fortis Hospital and Kidney Institute (Rash Behari Ave), Kolkata",13,0,0,0,0,0,3
Dr. Shuvendu Prosad Roy,Orthopaedic and Joint Replacement Surgeon, New Delhi,Foot and Ankle Surgery,13,0,0,0,0,0,2
Dr. Shumayou Dutta,Spine Surgeon, Kolkata, Medica Superspecialty Hospital,12,0,0,0,0,0,2
Dr. Amit Ray,Orthopaedic and Joint Replacement Surgeon, Kolkata," AMRI Hospital, Kolkata (Mukundapur)",13,0,0,0,0,0,10
